id	author	text	raw_text	likes	published_at	updated_at	num_replies
UgzFYCKoPwVNAkBfYTl4AaABAg	渡邉理佐推し	この曲耳に残るわ<br />そして何回かか見たくなる	"この曲耳に残るわ
そして何回かか見たくなる"	0	2019-09-12T23:01:11.000Z	2019-09-12T23:01:11.000Z	0
Ugw9f_j2Sh11jAiIzSR4AaABAg	Blue Destiny	この子達の笑顔を見てるだけで元気が出るし、温かい気持ちになる。<br />MV見てると何故か涙が滲む。<br />こんなグループ初めてだ。	"この子達の笑顔を見てるだけで元気が出るし、温かい気持ちになる。
MV見てると何故か涙が滲む。
こんなグループ初めてだ。"	0	2019-09-12T22:56:36.000Z	2019-09-12T22:56:36.000Z	0
UgxuXxIYUM2rGK3Sl-d4AaABAg	ドン・キ	"最初のサビ最高すぎる…<a href=""https://www.youtube.com/watch?v=3ZR2_TK2lV0&amp;t=1m17s"">1:17</a>"	最初のサビ最高すぎる…1:17	0	2019-09-12T22:54:31.000Z	2019-09-12T22:54:31.000Z	0
Ugw3RMBmvm3I8HcRw7t4AaABAg	乃木之助	タダでさえ明るい曲でも涙出てくるのにここに影とひよたんがこの衣装着て踊ってるとこ想像すると涙出てくる😊	タダでさえ明るい曲でも涙出てくるのにここに影とひよたんがこの衣装着て踊ってるとこ想像すると涙出てくる😊	0	2019-09-12T22:47:15.000Z	2019-09-12T22:47:15.000Z	0
Ugzm-M0nZL5ya_xecOt4AaABAg	JUJNJUN WW	普段演出や役者してますが、この曲は、潮さんがとても似合ってると思います。潮さんや高瀬さん、末永く活躍してほしい。	普段演出や役者してますが、この曲は、潮さんがとても似合ってると思います。潮さんや高瀬さん、末永く活躍してほしい。	1	2019-09-12T22:44:00.000Z	2019-09-12T22:44:00.000Z	0
UgzZk6RuFZThf5upAnB4AaABAg	といすろ	ホントの時間聴いてるとなんか安心する	ホントの時間聴いてるとなんか安心する	0	2019-09-12T22:43:41.000Z	2019-09-12T22:43:41.000Z	0
Ugznhd7T5Bx2NZvsKXp4AaABAg	キリマンジャロ金村	低評価押してる人現国の先生説。	低評価押してる人現国の先生説。	0	2019-09-12T22:42:16.000Z	2019-09-12T22:42:16.000Z	0
UgzMpfBJMBHz4jgx_vZ4AaABAg	Toraneko Channel	ここにさらにひよたんと影ちゃんが加わるという事実…<br />最強やんけ😎	"ここにさらにひよたんと影ちゃんが加わるという事実…
最強やんけ😎"	1	2019-09-12T22:41:05.000Z	2019-09-12T22:41:05.000Z	0
UgxL7dIPRbsPekOYeqJ4AaABAg	もこたん	めいめいその髪型は反則やて	めいめいその髪型は反則やて	0	2019-09-12T22:40:47.000Z	2019-09-12T22:40:47.000Z	0
Ugwo4MgOdreSo7JAxTV4AaABAg	小島真也	Oh〜 <br /><br />偶然ばったり　ショッピングモールで会って<br />立ち話をした　夕暮れの手前で <br />お互いに好きな　アニメで盛り上がり<br />DVDを貸し合う　約束をしただけで<br /><br />もう、いつの間にか　街明かり付き始めて <br />頭上の空、ふと見上げる　星がパラパラって輝いた <br />そろそろ家に帰らなきゃ　なんて急に言い出して <br />腕時計をチラリ見たら　さっきから<br />１時間経ってた <br /><br />ホントの時間はどれだけ進んでたのか <br />時計なんか信用しない <br />君と過ごす時だけ時空が歪むよ <br />あっという間に過ぎる <br />だって、現国の授業中は<br />ゆっくりと針が進むし <br />もったいぶったように<br />速くなったり、遅くなったり、いい加減 <br />Oh〜 <br /><br />favoriteアニソン　一緒に口ずさみ <br />話はまだまだ　尽きなかったけれど <br /><br />もうショーウィンドウの　照明も消え始めて<br />駐車場から車が出る　残ったのは僕達だけ<br />続きはまたいつかなんて　いつもならば帰るのに <br />「ねぇ、明日も会えない？」って　何故だろう<br />１秒で聞いてた <br /><br />ホントの時間のスピードとはどれくらい？<br />今日の日付が変わるまで <br />君を想う気持ちが急がせるけれど <br />止まったように見える <br />だって、真っ暗な空の色が<br />白むにまだかかりそうだし <br />一日のその中で<br />一番遅い進み方だと思うんだ<br /><br />ねぇ、誰がネジを巻いて調節しているの？<br />一応の目安になる時間はあるだろう <br />チクタクってきっとリズム刻んでる <br />ねぇ、だけど当てにならないような針たちを<br />どうにかまとめて世界中を統一してる <br />あれこれどれも今　勝手に動き<br />速さ一定してない <br /><br />ホントの時間のスピードとはどれくらい？<br />今日の日付が変わるまで <br />君を想う気持ちが急がせるけれど<br />止まったように見える <br /><br />ホントの時間はどれだけ進んでたのか <br />時計なんか信用しない <br />君と過ごす時だけ時空が歪むよ <br />あっという間に過ぎる <br />だって、現国の授業中は<br />ゆっくりと針が進むし <br />もったいぶったように速くなったり<br />遅くなったり、いい加減 <br />Oh〜	"Oh〜 

偶然ばったり　ショッピングモールで会って
立ち話をした　夕暮れの手前で 
お互いに好きな　アニメで盛り上がり
DVDを貸し合う　約束をしただけで

もう、いつの間にか　街明かり付き始めて 
頭上の空、ふと見上げる　星がパラパラって輝いた 
そろそろ家に帰らなきゃ　なんて急に言い出して 
腕時計をチラリ見たら　さっきから
１時間経ってた 

ホントの時間はどれだけ進んでたのか 
時計なんか信用しない 
君と過ごす時だけ時空が歪むよ 
あっという間に過ぎる 
だって、現国の授業中は
ゆっくりと針が進むし 
もったいぶったように
速くなったり、遅くなったり、いい加減 
Oh〜 

favoriteアニソン　一緒に口ずさみ 
話はまだまだ　尽きなかったけれど 

もうショーウィンドウの　照明も消え始めて
駐車場から車が出る　残ったのは僕達だけ
続きはまたいつかなんて　いつもならば帰るのに 
「ねぇ、明日も会えない？」って　何故だろう
１秒で聞いてた 

ホントの時間のスピードとはどれくらい？
今日の日付が変わるまで 
君を想う気持ちが急がせるけれど 
止まったように見える 
だって、真っ暗な空の色が
白むにまだかかりそうだし 
一日のその中で
一番遅い進み方だと思うんだ

ねぇ、誰がネジを巻いて調節しているの？
一応の目安になる時間はあるだろう 
チクタクってきっとリズム刻んでる 
ねぇ、だけど当てにならないような針たちを
どうにかまとめて世界中を統一してる 
あれこれどれも今　勝手に動き
速さ一定してない 

ホントの時間のスピードとはどれくらい？
今日の日付が変わるまで 
君を想う気持ちが急がせるけれど
止まったように見える 

ホントの時間はどれだけ進んでたのか 
時計なんか信用しない 
君と過ごす時だけ時空が歪むよ 
あっという間に過ぎる 
だって、現国の授業中は
ゆっくりと針が進むし 
もったいぶったように速くなったり
遅くなったり、いい加減 
Oh〜"	0	2019-09-12T22:40:39.000Z	2019-09-12T22:40:39.000Z	0
