id	author	text	raw_text	likes	published_at	updated_at	num_replies
Ugx_T9mf9zfwCmykBQ94AaABAg	レッド	井口が浜口京子に見えた	井口が浜口京子に見えた	0	2019-10-01T16:06:09.000Z	2019-10-01T16:06:09.000Z	0
UgzW8ZIazBrktP4WF7R4AaABAg	SFSV	素でみんなゴリゴリに可愛いな	素でみんなゴリゴリに可愛いな	0	2019-10-01T15:03:30.000Z	2019-10-01T15:03:30.000Z	0
Ugy-qHE0y6-alG8EnIZ4AaABAg	アパー	丹生ちゃんの「やっだぁー」で絶対笑ってしまうw	丹生ちゃんの「やっだぁー」で絶対笑ってしまうw	0	2019-10-01T15:00:53.000Z	2019-10-01T15:00:53.000Z	0
UgzoYxd4FaIb7A_8-CB4AaABAg	Sané, Leroy	新潟県民だけど井口眞緒、母とショッピングモールにいるところを目撃しました。	新潟県民だけど井口眞緒、母とショッピングモールにいるところを目撃しました。	0	2019-10-01T14:58:39.000Z	2019-10-01T14:58:39.000Z	0
UgzUFHRyTBM3BLDEYlJ4AaABAg	monyu monyu	にぶちゃんのお母さんこんな可愛い娘で幸せだろうな<br />うちの娘と交換してくれ	"にぶちゃんのお母さんこんな可愛い娘で幸せだろうな
うちの娘と交換してくれ"	0	2019-10-01T14:52:04.000Z	2019-10-01T14:52:04.000Z	0
UgwUQGm8OBEoNLr64vF4AaABAg	志田まなき	おたけの起床でめっちゃ笑ったw	おたけの起床でめっちゃ笑ったw	0	2019-10-01T14:42:22.000Z	2019-10-01T14:42:22.000Z	0
UgxgRUGdDmbaMcun5rB4AaABAg	トランクス	iPhoneにしたらそんなアラーム音があるのか…<br />起きれそう	"iPhoneにしたらそんなアラーム音があるのか…
起きれそう"	0	2019-10-01T13:39:17.000Z	2019-10-01T13:39:17.000Z	0
UgwP1U2KAOw0TN6zIcZ4AaABAg	Okashi Itoito	まなも、愛してる	まなも、愛してる	0	2019-10-01T13:28:53.000Z	2019-10-01T13:28:53.000Z	0
Ugyk2-HK0z2pSdutzRB4AaABAg	きょうへい	井口の休日は男と出掛けることだろ？いつも通りやれよ	井口の休日は男と出掛けることだろ？いつも通りやれよ	0	2019-10-01T13:01:49.000Z	2019-10-01T13:01:49.000Z	0
UgyVtOeXVApJcNrhQgF4AaABAg	きょうへい	井口の休日は男と出掛けることだろ？いつも通りやれよ	井口の休日は男と出掛けることだろ？いつも通りやれよ	0	2019-10-01T13:01:37.000Z	2019-10-01T13:01:37.000Z	0
Ugz07bu7IpHFXUdQ8Tl4AaABAg	わたなべわたなべ	井口の休日は彼氏とデートですよね？	井口の休日は彼氏とデートですよね？	0	2019-10-01T11:44:24.000Z	2019-10-01T11:44:24.000Z	0
UgwwQ9DiyPyOM08WaZR4AaABAg	pon paru	宮田愛萌さんの顔面がタイプすぎる<br />(推しは金村美玖ですがww)	"宮田愛萌さんの顔面がタイプすぎる
(推しは金村美玖ですがww)"	0	2019-10-01T10:21:34.000Z	2019-10-01T10:21:34.000Z	0
UgxpnSnw_mzo6rwlaiF4AaABAg	全ての肉を司る神アプトノス	井口だけが何故か休日ガチ勢	井口だけが何故か休日ガチ勢	0	2019-10-01T10:06:29.000Z	2019-10-01T10:06:29.000Z	0
Ugy9Bp6XjGhYWwvMGmd4AaABAg	K KOUKI	おすしの着てるパジャマめちゃくちゃ見覚えある	おすしの着てるパジャマめちゃくちゃ見覚えある	0	2019-10-01T08:11:10.000Z	2019-10-01T08:11:10.000Z	0
UgyDdcpakQhGowvkn954AaABAg	如月てつと	ほら、音痴じゃないでしょが水の中で言ってるみたいに聞こえる	ほら、音痴じゃないでしょが水の中で言ってるみたいに聞こえる	0	2019-10-01T07:01:27.000Z	2019-10-01T07:01:27.000Z	0
UgyQp6O_2NwuEjVfjS54AaABAg	イトウシュン	にぶちゃん	にぶちゃん	0	2019-10-01T07:01:21.000Z	2019-10-01T07:01:21.000Z	0
Ugw03ggM4H-PG-WPjtd4AaABAg	トム・リドル	これ、愛萌かき氷2個食べるってとこにびびった。	これ、愛萌かき氷2個食べるってとこにびびった。	0	2019-10-01T06:32:00.000Z	2019-10-01T06:32:00.000Z	0
UgwTEAwQRaArf1QXHv14AaABAg	賭博上手な高木さん	"<a href=""https://www.youtube.com/watch?v=89rMI6xQJZc&amp;t=1m26s"">1:26</a> 愛萌さんの喘ぎ声"	1:26 愛萌さんの喘ぎ声	1	2019-10-01T04:33:57.000Z	2019-10-01T04:33:57.000Z	0
UgxY9vsi8kcdBGbLNjx4AaABAg	もとやま	正直井口っていてもいなくても変わらんな。<br />周りが「可愛い！」とか言われてる中「井口は場を盛り上げてくれるから必要！」とか間接的にブスって言ってるもんだろw だって褒めるところないんだからw 「井口可愛い」ってコメントが無いのが何よりの証拠	"正直井口っていてもいなくても変わらんな。
周りが「可愛い！」とか言われてる中「井口は場を盛り上げてくれるから必要！」とか間接的にブスって言ってるもんだろw だって褒めるところないんだからw 「井口可愛い」ってコメントが無いのが何よりの証拠"	0	2019-10-01T00:04:01.000Z	2019-10-01T00:04:01.000Z	0
Ugx0I9snndvo-PIHGoJ4AaABAg	ブロッコリー	え、これガチ家？最高じゃんこういうの待ってた。	え、これガチ家？最高じゃんこういうの待ってた。	0	2019-09-30T23:07:23.000Z	2019-09-30T23:07:23.000Z	0
UgxABM41Fv0qMO7Lyq94AaABAg	星野和也	これは井口ですか？井口さんですか？	これは井口ですか？井口さんですか？	0	2019-09-30T21:05:14.000Z	2019-09-30T21:05:14.000Z	0
UgwfUIRxPI8-ecQEP-p4AaABAg	一人セゾン	ほらっ音痴じゃないでしょ？かわいいな	ほらっ音痴じゃないでしょ？かわいいな	0	2019-09-30T20:31:18.000Z	2019-09-30T20:31:18.000Z	0
Ugzx2P5cPVTnGMopqqR4AaABAg	king stone	1人すっぴんが事故ってる人いるなぁ	1人すっぴんが事故ってる人いるなぁ	0	2019-09-30T18:56:10.000Z	2019-09-30T18:56:10.000Z	0
UgxZDl3JkQviYfEUzMl4AaABAg	king stone	これガチでメンバーの部屋？	これガチでメンバーの部屋？	0	2019-09-30T18:53:29.000Z	2019-09-30T18:53:29.000Z	0
UgxaO6O4AsS6AjnZdUx4AaABAg	ラオウ	丹生ちゃんみたいな子供をもてたらどれだけ幸せだろうな。	丹生ちゃんみたいな子供をもてたらどれだけ幸せだろうな。	1	2019-09-30T16:02:21.000Z	2019-09-30T16:02:21.000Z	0
UgwgeiaJms1i-v1Ylfx4AaABAg	さくら	もうね全部井口眞緒に持ってかれた	もうね全部井口眞緒に持ってかれた	1	2019-09-30T16:00:44.000Z	2019-09-30T16:00:44.000Z	0
UgxVjOKJCE2_KJBWu8N4AaABAg	B Tana	おたけのYouTuber感www	おたけのYouTuber感www	2	2019-09-30T15:33:21.000Z	2019-09-30T15:33:21.000Z	0
Ugw1RBjwm6CMwU56Nv54AaABAg	青の時代の士AJ_SAMURAI.	"<a href=""https://www.youtube.com/watch?v=89rMI6xQJZc&amp;t=1m46s"">1:46</a> ミックスナッツに石が混じってて<br />苦情の電話を入れたんですけど<br />その相手の男性の声がすごくカッコよくて<br />それで色々あって それが<br /><br />男もののパーカーです。"	"1:46 ミックスナッツに石が混じってて
苦情の電話を入れたんですけど
その相手の男性の声がすごくカッコよくて
それで色々あって それが

男もののパーカーです。"	0	2019-09-30T15:19:39.000Z	2019-09-30T15:19:39.000Z	0
UgwX5FaPFiS-3viWtx94AaABAg	shimo	type-Cまで全予告みたが　井口が一番楽しみなのはなぜだろうw	type-Cまで全予告みたが　井口が一番楽しみなのはなぜだろうw	0	2019-09-30T14:56:26.000Z	2019-09-30T14:56:26.000Z	0
Ugzcs-oUDw86MjvYDUR4AaABAg	きぬごし豆腐	にぶちゃんやなぁ<br /><br />可愛いゾォ！	"にぶちゃんやなぁ

可愛いゾォ！"	1	2019-09-30T14:48:10.000Z	2019-09-30T14:48:10.000Z	0
Ugy6sjWusil4wmw6oIp4AaABAg	こしまん	井口ってスキャンダル受けたのに無傷なのさすがすぎる	井口ってスキャンダル受けたのに無傷なのさすがすぎる	0	2019-09-30T14:44:23.000Z	2019-09-30T14:44:23.000Z	0
UgwuvcPH8zxYZIVTL3F4AaABAg	raldnavs	english subtitle please😭<br /><br />p.s. a new fan of them💙	"english subtitle please😭

p.s. a new fan of them💙"	0	2019-09-30T14:34:17.000Z	2019-09-30T14:34:17.000Z	0
UgzsH8fYdaFU90-61Kh4AaABAg	JLM	井口の体幹トレーニング、フォームが腰痛めそうで気になる……	井口の体幹トレーニング、フォームが腰痛めそうで気になる……	1	2019-09-30T13:33:49.000Z	2019-09-30T13:33:49.000Z	0
Ugy2_YOkggtrpnav9MJ4AaABAg	織田信長	井口に全部持ってかれたわw	井口に全部持ってかれたわw	1	2019-09-30T12:57:35.000Z	2019-09-30T12:57:35.000Z	0
Ugw1fPDgm5UtOAtH0z54AaABAg	宮本 周	誰やねん朝から非常事態のベル鳴らしてんのはwwｗｗｗｗｗ	誰やねん朝から非常事態のベル鳴らしてんのはwwｗｗｗｗｗ	0	2019-09-30T12:44:36.000Z	2019-09-30T12:44:36.000Z	0
UgzVv1fxzdaUpJGQwKh4AaABAg	t kitagawa	おたけのアラーム俺と一緒だし、丹生ママは丹生ちゃんと声同じすぎ。	おたけのアラーム俺と一緒だし、丹生ママは丹生ちゃんと声同じすぎ。	1	2019-09-30T12:15:42.000Z	2019-09-30T12:15:42.000Z	0
Ugz-McucaStavlyOOxF4AaABAg	でんぐり返しで始まる世界	丹生ちゃんの可愛いさに今日もしっかりやられました💘	丹生ちゃんの可愛いさに今日もしっかりやられました💘	1	2019-09-30T12:08:14.000Z	2019-09-30T12:08:14.000Z	0
UgwOj6_dcBhfQhwBadB4AaABAg	おせんべい	"<a href=""https://www.youtube.com/watch?v=89rMI6xQJZc&amp;t=1m21s"">1:21</a>　「アジ～～～、です」<br />って言い方かわいすぎませんか！"	"1:21　「アジ～～～、です」
って言い方かわいすぎませんか！"	1	2019-09-30T12:06:30.000Z	2019-09-30T12:06:30.000Z	0
Ugwx2FqVYW_6kupS2yB4AaABAg	龍之介K	アイドルが歯磨き中にえずくなwww	アイドルが歯磨き中にえずくなwww	0	2019-09-30T10:25:52.000Z	2019-09-30T10:25:52.000Z	0
UgwQONM9WgR4gcT8hLF4AaABAg	わー	井口ガチやん	井口ガチやん	0	2019-09-30T10:04:04.000Z	2019-09-30T10:04:04.000Z	0
UgyKg2xn0u5gONk_PA54AaABAg	あらさん	おたけ笑ったw	おたけ笑ったw	0	2019-09-30T09:44:49.000Z	2019-09-30T09:44:49.000Z	0
UgyDfB7vihLKOQzuEYZ4AaABAg	ひなた坂	これ、空色に変えてみませんか？<br />↓<br />↓	"これ、空色に変えてみませんか？
↓
↓"	1	2019-09-30T09:40:25.000Z	2019-09-30T09:40:25.000Z	0
UgxW-jhrBtZxfQ3i04h4AaABAg	トーン	しれっと井口入れんなよ	しれっと井口入れんなよ	0	2019-09-30T09:37:21.000Z	2019-09-30T09:37:21.000Z	0
Ugw4hc6Cc6TscyO01vh4AaABAg	Musashi Miyamoto	一人だけ酔っ払いいて草	一人だけ酔っ払いいて草	0	2019-09-30T09:15:56.000Z	2019-09-30T09:15:56.000Z	0
UgwrkBDxHLyeBKkW-fh4AaABAg	イモ兼P	"<a href=""https://www.youtube.com/watch?v=89rMI6xQJZc&amp;t=1m42s"">1:42</a> 井口"	1:42 井口	0	2019-09-30T06:41:06.000Z	2019-09-30T06:41:38.000Z	0
UgxyGGsvw249DmBeVO94AaABAg	山田太郎	井口まじすぎて本当に最高です。<br />色々合ったけど、応援してます	"井口まじすぎて本当に最高です。
色々合ったけど、応援してます"	2	2019-09-30T05:52:22.000Z	2019-09-30T05:52:22.000Z	0
UgxWzMemrRwEk_JqXYd4AaABAg	tw tw	この企画考えたやつ天才かよ！	この企画考えたやつ天才かよ！	1	2019-09-30T05:38:29.000Z	2019-09-30T05:38:29.000Z	0
UgywL7fGjCrIn2o91Xx4AaABAg	SiRoHaNe	魚も本望だろうな	魚も本望だろうな	1	2019-09-30T05:32:14.000Z	2019-09-30T05:32:14.000Z	0
UgzvX56T6WbP-PiuSy14AaABAg	きなお	丹生ちゃんが親の前でもちゃんと丹生ちゃんで安心した	丹生ちゃんが親の前でもちゃんと丹生ちゃんで安心した	1	2019-09-30T05:26:56.000Z	2019-09-30T05:26:56.000Z	0
UgyJChb0HdeZiVmwIVB4AaABAg	Kひなこ	かわたひな可愛すぎて死んだ	かわたひな可愛すぎて死んだ	1	2019-09-30T05:00:32.000Z	2019-09-30T05:00:32.000Z	0
Ugwij3D3BlIZPlLzlSR4AaABAg	アフロ犬	寝起きからシッカリしてる金村、朝飯たべてる丹生ちゃん・・・タイプAもそりゃ買いますわ	寝起きからシッカリしてる金村、朝飯たべてる丹生ちゃん・・・タイプAもそりゃ買いますわ	1	2019-09-30T04:35:21.000Z	2019-09-30T04:35:21.000Z	0
UgwiJZ_b0V2eJfnWzBh4AaABAg	真夜中のミッドナイト	井口だけガチ感がすごい	井口だけガチ感がすごい	0	2019-09-30T04:20:52.000Z	2019-09-30T04:20:52.000Z	0
Ugy6wYL6V-t6NGALJvl4AaABAg	中村拓巳	謹慎中の井口だすなや！ぜんぜん謹慎じゃないな！	謹慎中の井口だすなや！ぜんぜん謹慎じゃないな！	0	2019-09-30T04:05:46.000Z	2019-09-30T04:05:46.000Z	0
UgxelpLOeQxcb0oPVHN4AaABAg	ひーさん	丹生ちゃんのお母さん撮るのうますぎんか…？	丹生ちゃんのお母さん撮るのうますぎんか…？	0	2019-09-30T03:57:44.000Z	2019-09-30T03:57:44.000Z	0
UgwGUyI3My1RrI-2Y9N4AaABAg	不眠症の男	井口のすっぴん浜口京子に見えるのは俺だけ？	井口のすっぴん浜口京子に見えるのは俺だけ？	0	2019-09-30T01:20:46.000Z	2019-09-30T01:20:46.000Z	0
UgzCGOOcWshozMALStZ4AaABAg	envoy mitra	井口酒飲んでんのか	井口酒飲んでんのか	0	2019-09-30T00:21:20.000Z	2019-09-30T00:21:20.000Z	0
