id	author	text	raw_text	likes	published_at	updated_at	num_replies
Ugy0lt1koKc3CzdVSM54AaABAg	ばぶん	井口頑張ったね😭	井口頑張ったね😭	1	2019-09-04T16:08:03.000Z	2019-09-04T16:08:03.000Z	0
UgwnTETu6OBgR8lhCcR4AaABAg	てち推しのねる	こういう感じの曲調待ってた！！<br />少しひらがな時代を彷彿とさせる乃木坂と欅坂のハイブリッド感のある曲とMV	"こういう感じの曲調待ってた！！
少しひらがな時代を彷彿とさせる乃木坂と欅坂のハイブリッド感のある曲とMV"	1	2019-09-04T16:08:02.000Z	2019-09-04T16:08:02.000Z	0
Ugwu-TACk5CuGLV2KD54AaABAg	帆史	美穂がすごい印象に残った〜	美穂がすごい印象に残った〜	0	2019-09-04T16:07:40.000Z	2019-09-04T16:07:40.000Z	0
Ugy3M_jnjbUuJHsUSkh4AaABAg	bad weizer	それぞれの推しがどこにいるかをそれぞれ見る<br />それでいいじゃない	"それぞれの推しがどこにいるかをそれぞれ見る
それでいいじゃない"	0	2019-09-04T16:06:40.000Z	2019-09-04T16:06:40.000Z	0
UgwBqaNHzWkQ9fPK7vN4AaABAg	てち	日向の中で一番好き。秋にぴったりだね、そしてなおみく安定の可愛さ。	日向の中で一番好き。秋にぴったりだね、そしてなおみく安定の可愛さ。	0	2019-09-04T16:06:14.000Z	2019-09-04T16:06:14.000Z	0
UgwpJu9Pe1awdlnpMTx4AaABAg	さとうさかな	今回は誰も井口についてコメントをしていない…	今回は誰も井口についてコメントをしていない…	0	2019-09-04T16:05:54.000Z	2019-09-04T16:05:54.000Z	0
UgyXnUW0aiwHZTQ1zu94AaABAg	まー	結局こういう曲が好きだったりする	結局こういう曲が好きだったりする	0	2019-09-04T16:04:10.000Z	2019-09-04T16:04:10.000Z	0
UgyyG0JDOLA-EIpE6bB4AaABAg	まみ	大人っぽい曲、みんなの表現力が凄い。	大人っぽい曲、みんなの表現力が凄い。	0	2019-09-04T16:03:37.000Z	2019-09-04T16:03:37.000Z	0
UgwDMjXR6KqsfZ6tDjp4AaABAg	いっしんちゃん	最近のお寿司勢い半端ない！	最近のお寿司勢い半端ない！	1	2019-09-04T16:03:34.000Z	2019-09-04T16:03:34.000Z	0
Ugwa5odW_J7MOBh7cvV4AaABAg	monyu monyu	下積みがいかに大事か分かるMV	下積みがいかに大事か分かるMV	0	2019-09-04T16:02:54.000Z	2019-09-04T16:02:54.000Z	0
Ugz0Xcx19_BRs4jKlZJ4AaABAg	Christopher Robin	乃木坂と欅坂の悪いところだけを集めたみたいなグループ	乃木坂と欅坂の悪いところだけを集めたみたいなグループ	0	2019-09-04T16:01:13.000Z	2019-09-04T16:01:13.000Z	0
UgzhjPSyHjk1iXFZM9Z4AaABAg	ポンタ	漂うAAA感。歌詞も曲も素敵	漂うAAA感。歌詞も曲も素敵	0	2019-09-04T16:01:01.000Z	2019-09-04T16:01:01.000Z	1
UgzhjPSyHjk1iXFZM9Z4AaABAg.8zTCM8tQUB78zTD2NXX_f2	乃木坂ーYUCHELMー	ポンタ AAA感めっちゃわかる	ポンタ AAA感めっちゃわかる	0	2019-09-04T16:07:03.000Z	2019-09-04T16:07:03.000Z	0
UgzqBDgX0ifmyrKxnpZ4AaABAg	ゆう	小坂菜緒ちゃんのソロ曲がもしあったらやっぱこんな感じになんのかな<br />PVとメロの雰囲気がすごくしっくり来るんだよね。曲がもう彼女に寄ってるまである<br /><br />彼女がこの曲のセンターで良かったなと本気で思うよ	"小坂菜緒ちゃんのソロ曲がもしあったらやっぱこんな感じになんのかな
PVとメロの雰囲気がすごくしっくり来るんだよね。曲がもう彼女に寄ってるまである

彼女がこの曲のセンターで良かったなと本気で思うよ"	0	2019-09-04T16:00:52.000Z	2019-09-04T16:00:52.000Z	0
Ugyize1mr5UMY9_8AZ54AaABAg	ただ感謝の気持ちでいっぱいです	夏終わっちゃうけど秋もいいよねって思えた	夏終わっちゃうけど秋もいいよねって思えた	0	2019-09-04T15:59:23.000Z	2019-09-04T15:59:23.000Z	0
UgwQdUAxnkgyAAOwkU14AaABAg	新井嵩人	いままでと違う世界観。<br />彼女たちには無限の可能性しかない。	"いままでと違う世界観。
彼女たちには無限の可能性しかない。"	1	2019-09-04T15:58:12.000Z	2019-09-04T15:58:12.000Z	0
UgwGj4aR4W_XF_pi27V4AaABAg	ちゃんごん	全員が主役であるのが続いてほしい。<br />どのフォーメーションでも成り立って、みんなが輝けるグループ。<br />日向坂らしさ大好き。	"全員が主役であるのが続いてほしい。
どのフォーメーションでも成り立って、みんなが輝けるグループ。
日向坂らしさ大好き。"	1	2019-09-04T15:57:38.000Z	2019-09-04T15:57:38.000Z	0
