id	author	text	raw_text	likes	published_at	updated_at	num_replies
Ugw_SI5GNbHRRkBV6Hp4AaABAg	猫山ぶー	日向坂46、3期生の曲ですね	日向坂46、3期生の曲ですね	0	2019-09-22T13:45:54.000Z	2019-09-22T13:45:54.000Z	0
UgwWjm0pHrGcNSPFdgJ4AaABAg	小林アサヒ	"<a href=""https://www.youtube.com/watch?v=Mp_FdZGhsg4&amp;t=1m24s"">1:24</a> <br />は「にんじん」でいいんかな？"	"1:24 
は「にんじん」でいいんかな？"	0	2019-09-22T13:44:26.000Z	2019-09-22T13:44:26.000Z	0
UgxR8AgcZ4O9cTM3ZYl4AaABAg	ちゅんちゅん	ぐるぐるピーマン君だよぉ〜⤴︎⤴	ぐるぐるピーマン君だよぉ〜⤴︎⤴	0	2019-09-22T13:34:53.000Z	2019-09-22T13:34:53.000Z	0
UgxQROcegv0P-l0YPWx4AaABAg	秋口高野	日向坂の歌声はビックリするほどかっこよかった	日向坂の歌声はビックリするほどかっこよかった	0	2019-09-22T13:18:22.000Z	2019-09-22T13:18:22.000Z	0
UgwkXCwal7_YuPyKegN4AaABAg	ありがとう!!	個人的に歌い方とか声があんまり好きじゃないけど中学生でたった1人の3期生って知って応援したくなった！	個人的に歌い方とか声があんまり好きじゃないけど中学生でたった1人の3期生って知って応援したくなった！	0	2019-09-22T12:49:41.000Z	2019-09-22T12:49:41.000Z	0
UgxoskR5wlEqI_gM6Kp4AaABAg	はな。	表現力もあって一度見始めたら目が離せません	表現力もあって一度見始めたら目が離せません	1	2019-09-22T12:43:55.000Z	2019-09-22T12:43:55.000Z	0
UgzjNSFmXaIgmsbax4p4AaABAg	ぽん	なんか声と顔が違うw	なんか声と顔が違うw	0	2019-09-22T12:22:32.000Z	2019-09-22T12:22:32.000Z	0
UgzH2nXrsFLssyFz--F4AaABAg	りんとら	メッセ限定のこのmvのオフショットたまらん	メッセ限定のこのmvのオフショットたまらん	0	2019-09-22T12:14:38.000Z	2019-09-22T12:14:38.000Z	0
UgzyKpeVu30Llusb8vN4AaABAg	けしごむ	普段のイメージと歌声が違い過ぎて驚き	普段のイメージと歌声が違い過ぎて驚き	1	2019-09-22T11:55:29.000Z	2019-09-22T11:55:29.000Z	0
UgyTG0Gh1j9ZqmvKma14AaABAg	ゆみ	ひなのちゃんがダンス下手って言いたいわけじゃないんだけど、カットでめっちゃ上手に見える、、きれい🧚‍♀️	ひなのちゃんがダンス下手って言いたいわけじゃないんだけど、カットでめっちゃ上手に見える、、きれい🧚‍♀️	0	2019-09-22T11:21:57.000Z	2019-09-22T11:21:57.000Z	0
UgxRTi-WaW6_648e_Zd4AaABAg	平手友梨奈ちゃん愛してやまない	坂道合同オーディション唯一の勝ち組	坂道合同オーディション唯一の勝ち組	0	2019-09-22T11:01:39.000Z	2019-09-22T11:01:39.000Z	0
UgyjYXBEmL2EcG2R_8B4AaABAg	みー	なのなの可愛い	なのなの可愛い	0	2019-09-22T10:53:56.000Z	2019-09-22T10:53:56.000Z	0
UgxJS4X8es2_ZRTPwzR4AaABAg	いつかコロスケ	キー2つ3つ下げた歌だったらひなのちゃんの歌いやすいかっこいい曲になってたかも。確かに出しづらそうな声が苦手な人はいそうだなぁ。この顔で歌うときは声が低めなのはたまらん。	キー2つ3つ下げた歌だったらひなのちゃんの歌いやすいかっこいい曲になってたかも。確かに出しづらそうな声が苦手な人はいそうだなぁ。この顔で歌うときは声が低めなのはたまらん。	0	2019-09-22T10:46:33.000Z	2019-09-22T10:46:33.000Z	0
UgzLVdcZf6hJc5Glw5R4AaABAg	今シーズンプレミア取りますリバプール	逸材ですね！<br />ただのリトルトゥースから、日向のカップリングまでチェックし始めている。<br />完全に毒されてる。	"逸材ですね！
ただのリトルトゥースから、日向のカップリングまでチェックし始めている。
完全に毒されてる。"	0	2019-09-22T10:39:24.000Z	2019-09-22T10:39:24.000Z	0
UgwI-nPWC_SKZDdXUbd4AaABAg	かなK	なんか歌い方が難しいのか歌が難しいのかわからんけどカラオケで歌うの難しそう笑	なんか歌い方が難しいのか歌が難しいのかわからんけどカラオケで歌うの難しそう笑	0	2019-09-22T10:34:42.000Z	2019-09-22T10:34:42.000Z	0
UgxpemAdEYNnABCie2p4AaABAg	Nobuaki Tanaka	。。。こういう声だったんですね？？渋い。	。。。こういう声だったんですね？？渋い。	0	2019-09-22T10:05:42.000Z	2019-09-22T10:05:42.000Z	0
