id	author	text	raw_text	likes	published_at	updated_at	num_replies
UgwanxxxlHj9diJoubt4AaABAg	ゆーき	べみほの歌が何気に頭に残るんだが笑	べみほの歌が何気に頭に残るんだが笑	1	2019-10-01T17:10:17.000Z	2019-10-01T17:10:17.000Z	0
Ugxkv7G5jxQYc87AwMp4AaABAg	過去にもどりたい	いやまじでみんな可愛いの一言に尽きるわ	いやまじでみんな可愛いの一言に尽きるわ	2	2019-10-01T16:32:25.000Z	2019-10-01T16:32:25.000Z	0
Ugxz7XqVLJ6InxNRPmt4AaABAg	ブロッコリー	"<a href=""https://www.youtube.com/watch?v=_iyCAzClmT8&amp;t=1m43s"">1:43</a>クソワロタww"	1:43クソワロタww	1	2019-10-01T15:57:52.000Z	2019-10-01T15:57:52.000Z	0
UgwmFqr0__CxgKWsP0B4AaABAg	日向坂こんこん	急上昇おめ！	急上昇おめ！	0	2019-10-01T15:32:42.000Z	2019-10-01T15:32:42.000Z	0
UgwSfrLhmpKiYRqbhXZ4AaABAg	そふとくりーむ	私も目覚ましキュンに設定してしまった	私も目覚ましキュンに設定してしまった	0	2019-10-01T15:06:13.000Z	2019-10-01T15:06:13.000Z	0
UgxbeGMIv9eK6Emkrmh4AaABAg	Shin Kurogi	ひなのの所を何度も見てしまう	ひなのの所を何度も見てしまう	2	2019-10-01T14:30:20.000Z	2019-10-01T14:30:20.000Z	0
UgwPNZYeOpYKAszEXgx4AaABAg	ひーたん病。	ひなのは休日でも変人なの	ひなのは休日でも変人なの	1	2019-10-01T13:59:22.000Z	2019-10-01T13:59:22.000Z	0
UgzeMxdtnAiGg6xGq254AaABAg	山さん山さん	ひなのさまーめっちゃ見たい誰か違法アップロードしてくれないかな	ひなのさまーめっちゃ見たい誰か違法アップロードしてくれないかな	0	2019-10-01T13:42:24.000Z	2019-10-01T13:42:24.000Z	0
UgxQmQnr06U7dBT6r4l4AaABAg	パンタグラフ	"<a href=""https://www.youtube.com/watch?v=_iyCAzClmT8&amp;t=1m44s"">1:44</a> 猿腕だからか<br />ねるちゃんに似てる"	"1:44 猿腕だからか
ねるちゃんに似てる"	0	2019-10-01T13:10:17.000Z	2019-10-01T13:10:17.000Z	0
Ugxp3daW45ADf5I4htZ4AaABAg	口にゲロを含んだ志田	休日に少林寺拳法挑戦する奴	休日に少林寺拳法挑戦する奴	0	2019-10-01T12:26:33.000Z	2019-10-01T12:26:33.000Z	0
UgxBFwKhHiqOcX6Gmod4AaABAg	レゴデュプロ	"<a href=""https://www.youtube.com/watch?v=_iyCAzClmT8&amp;t=1m36s"">1:36</a> 自分用"	1:36 自分用	0	2019-10-01T11:38:03.000Z	2019-10-01T11:38:03.000Z	0
Ugx1YMeaK1Hz69gwCWR4AaABAg	あの小顔	イカれた目覚ましの止め方なの	イカれた目覚ましの止め方なの	1	2019-10-01T11:14:46.000Z	2019-10-01T11:14:46.000Z	0
